Temperature ,Humidity,Rainfall (mm),Wind Speed (km/h),Disease Spread Speed
27.06,44.39,165.5,4.66,Low
23.6,70.69,69.16,1.6,Low
23.84,74.96,118.26,18.75,Low
20.73,45.69,55.9,8.74,Low
23.61,45.37,90.86,48.37,Low
32.57,70.54,195.68,44.74,High
33.52,88.09,150.46,1.93,High
38.9,72.14,119.82,31.82,High
20.15,73.17,162.99,27.14,Low
35.81,44.55,1.44,10.59,Low
21.87,65.53,31.52,5.48,Low
21.78,35.17,121.67,33.14,Low
33.46,65.66,11.81,22.29,Low
24.98,48.77,192.85,38.33,Low
36.93,41.03,158.42,28.21,Low
16.86,78.53,17.46,31.42,Low
36.35,57.86,54.87,19.52,Low
32.73,62.19,104.13,29.81,High
16.32,84.7,179.59,39.68,Low
36.86,46.42,7.45,11.51,Low
34.28,47.51,132.45,2.32,Low
30.39,64.65,139.28,3.25,High
35.05,60.16,89.71,41.62,High
18.25,53.57,147.89,16.34,Low
38.26,39.87,186.21,8.02,Low
18.05,39.97,165.31,48.65,Low
27.87,87.66,43.75,6.87,Low
16.03,43.55,159.16,37.95,Low
39.87,67.44,172.59,1.53,High
17.55,41.37,37.57,15.37,Low
22.85,56.79,177.45,37.1,Low
33.82,31.87,112.16,24.37,Low
36.19,63.04,93.31,45.2,High
29.88,62.03,64.98,35.42,Low
16.91,86.25,49.76,24.89,Low
19.62,54.61,11.25,20.2,Low
30.11,84.82,122.76,48.06,High
21.31,75.96,57.9,24.57,Low
34.09,86.61,34.72,8.65,Low
15.55,89.86,119.99,37.35,Low
39.81,80.62,5.11,16.65,Low
15.03,68.83,41.47,33.61,Low
16.9,63.28,27.11,25.44,Low
15.2,40.32,43.69,42.95,Low
34.62,40.39,74.11,21.92,Low
29.03,51.2,158.16,5.76,Low
25.26,81.42,31.24,2.7,Low
23.22,73.03,19.55,13.78,Low
29.7,70.42,162.46,19.39,Low
15.48,63.09,170.59,41.79,Low
23.27,39.43,145.5,47.32,Low
36.76,59.14,181.54,45.74,Low
39.1,61.29,38.32,23.58,Low
21.34,55.55,5.57,1.64,Low
26.28,60.34,43.88,34.65,Low
23.65,38.76,130.4,10.55,Low
15.37,74.05,26.68,4.73,Low
37.99,41.14,165.64,45.29,Low
22.24,89.62,122.62,14.01,Low
15.55,35.93,45.24,48.4,Low
15.18,76.88,104.85,24.16,Low
18.89,51.05,160.12,34.97,Low
22.98,85.86,73.06,43.26,Low
18.08,71.01,189.37,14.37,Low
18.71,66.54,63.79,19.77,Low
17.24,54.66,43.46,32.14,Low
29.7,31.81,144.72,22.34,Low
21.5,83.67,147.52,17.04,Low
36.12,66.27,155.84,33.13,High
35.3,33.86,117.9,24.16,Low
27.88,39.94,52.91,12.27,Low
17.21,88.38,8.36,47.95,Low
31.81,59.01,58.19,23.97,Low
23,52.3,28.64,2.7,Medium
30.7,86.71,80.24,26.94,High
23.35,49.96,182.13,4,Low
23.53,41.53,176.74,48.98,Low
26.83,65.49,57.33,30.42,Low
30.57,55.3,159.6,28.48,Low
35.47,35.4,170.88,6.14,Low
16.2,35.21,86.38,21,Low
15.27,62.52,115.13,31.5,Low
35.65,50.59,43.79,43.39,Low
24.95,41.41,12.34,7.3,Medium
20.35,84.6,29.96,1.49,Low
21.33,78.57,157.93,32.9,Low
31.38,69.17,70.35,3.46,High
17.91,69.12,69.18,8.2,Low
31.65,30.13,153.67,26.5,Low
39.26,76.52,124.45,2.36,High
29.05,43.69,120,48.34,Low
35.47,63.22,158.57,2.69,High
33.8,66.33,153.43,40.44,High
31.67,30.34,143.73,18.89,Low
24.57,32.19,162.73,41.81,Low
36.73,81.49,54.98,30.75,High
21.85,79.87,24.44,11.02,Low
20.02,64.9,97.57,38.27,Low
31.16,83.99,152.67,22.48,High
28.54,37.63,49.59,47.08,Low
32.5,35.14,97.25,25.48,Low
28.47,77.09,30.35,8.58,Low
36.06,65.3,73.99,41.18,High
18.19,46.63,51.3,25.74,Low
27.99,50.76,148.77,22.4,Low
36.65,55.83,117.96,30.55,Low
26.98,46.75,132.72,17.55,Low
21.87,88.27,23.77,23.11,Low
36.34,35.45,40.82,47.93,Low
22.47,37.01,180.04,25.26,Low
24.82,67.11,163.93,11.55,Low
22.6,39.68,195.79,15.55,Low
32.83,41.34,126.85,46.43,Low
35.96,32.13,80.01,43.28,Low
32.05,89.35,50.95,39.25,High
30.16,72.08,168.09,16.03,High
29.89,81.21,152.58,42.64,Low
34.79,60.4,134.2,43.62,High
17.62,42.18,125.39,47.31,Low
15.09,62.95,113.19,11.41,Low
33.78,58.85,19.3,1.65,Low
35.11,80.24,37.09,10.99,Low
37.83,58.64,0.55,5.38,Low
16.78,46.05,3.67,28.06,Low
35.18,33.19,28.02,26.23,Low
34.79,70,11.47,10.34,Low
17.68,57.26,43.68,20.69,Low
39.07,36.26,31.1,25.36,Low
16.94,40.77,153.13,40.72,Low
29.57,83.2,197.81,3.96,Low
39.41,35.58,123.23,30.3,Low
15.82,89.75,168.62,13.37,Low
22.52,68.61,29.44,40.5,Low
39.71,62.61,67.06,12.68,High
15.36,83.61,9.65,46.71,Low
18.05,88.89,66.01,43.81,Low
37.55,38.54,49.83,18.53,Low
16.06,83.84,189.74,1.52,Low
17.4,41.16,99.92,34.14,Low
30.05,42.75,167.83,35.95,Low
24.03,49.52,38.67,26.3,Medium
18.63,48.3,159.85,42.11,Low
26.31,74.25,172.04,49.34,Low
36.22,72.17,71.31,43.5,High
34.57,58.1,108.64,9.66,Low
35.89,43.16,139.46,11.1,Low
18.59,61.73,29.55,19.4,Low
29.69,36.8,30.38,25.1,Low
33.25,34.16,155.48,29.38,Low
22.01,78.97,176,23.65,Low
27.27,35.75,99.89,32.75,Low
16.91,40.46,78.73,5.48,Low
18.61,53.96,46.65,10.13,Low
19.89,41.57,84.48,30.44,Low
15.01,30.95,21.58,33.44,Low
16.11,42.05,175.66,2.49,Low
27.92,75.09,95.54,44.48,Low
24.08,41.43,154.03,47.72,Low
27.58,39.26,192.53,13.69,Low
21.66,44.34,77.53,6.03,Low
22.89,47.44,167.44,42.71,Low
26.25,58.85,176.81,19.64,Low
22.93,56.48,39.3,11.92,Medium
33.87,76.5,52.82,11.35,High
29.59,61.93,56.05,11.83,Low
16.21,52.23,145.06,9.56,Low
16.54,81.35,38.4,49.18,Low
28.36,45.16,147.8,45.36,Low
21.53,82.76,195.6,18.8,Low
27.31,45.46,139,1.23,Low
26.34,66.46,109.85,39.78,Low
16.41,30.87,188.13,41.83,Low
16.74,41.55,147.07,33.01,Low
31.08,31.3,64.46,35.3,Low
26.02,80.83,33.88,32.07,Low
30.14,83.63,93.88,42.29,High
21.05,35.51,198.78,45.64,Low
23.76,88,184.59,11.68,Low
15.06,67.09,74.5,1.31,Low
22.64,73.24,95.12,21.14,Low
23.89,62,1.17,30.67,Low
23.53,74.56,124.21,2.02,Low
19.46,59.77,95.16,33.19,Low
38.49,34.77,94.29,5.18,Low
38.85,41.36,128.97,32.41,Low
28.73,33.18,111.63,1.68,Low
22.47,51.58,188.82,40.92,Low
16.29,44.39,47.93,8.12,Low
27.85,63.45,1.67,29.32,Low
28.41,64.2,156.8,18.01,Low
23.69,86.34,64.12,14.56,Low
16.64,55.27,151.88,5.88,Low
18.78,61.23,152.91,48.97,Low
38.29,30.4,49.64,34.94,Low
24.91,77.48,172.3,45.99,Low
19.54,59.89,163.4,29.42,Low
39.23,61.49,67.47,10.3,High
22.86,60.81,106.56,6.51,Low
23.32,75.74,55.55,38.55,Low
16.51,34.55,170.33,25.38,Low
20.88,80.91,43.17,7.05,Low
24.15,51.19,99.99,4.18,Low
37.2,31.64,37.18,21.69,Low
36.36,86.17,115.15,16.03,High
28.43,86.43,57.98,37.37,Low
33.48,60.41,69.94,17.95,High
35.56,35.86,76.17,25.53,Low
26.3,33.04,153.04,45.14,Low
21.38,52.69,14.74,0.49,Medium
20.72,67.03,119.58,48.57,Low
35.06,61.46,9.69,28.77,Low
24.9,84.41,191.72,23.93,Low
16,87.45,129.66,31.06,Low
17.29,65.41,164.09,5.58,Low
36.77,53.02,146.5,27.39,Low
35.6,34.6,60.18,17.3,Low
30.99,70.57,24.05,28.13,Low
20.49,49.92,153.4,38.13,Low
39.71,80.59,112.75,41.86,High
35.96,31.27,160.72,41.08,Low
34.3,52.42,171.43,0.85,Low
24.04,47.23,29.26,45.86,Medium
25.05,34.56,196.63,2.72,Low
19.93,76.32,129.89,0.58,Low
39.55,53.62,77.4,35.32,Low
26.39,45.02,140.04,17.2,Low
27,39.84,186.59,12.97,Low
26.45,87.67,87.51,35.6,Low
18.29,61.13,173.59,26.9,Low
35.38,57.13,132.31,7.32,Low
29.2,63.01,159.49,2.71,Low
32.15,50.93,24.73,36.21,Low
28.68,58.54,197.44,45.36,Low
34.55,88.47,16.6,27.31,Low
39.51,37.18,198.28,22.21,Low
22.32,54.21,171.03,16.68,Low
34.77,68.93,45.02,31.33,Low
24.58,71.58,88.22,39.16,Low
28.38,62.93,74.35,43.15,Low
23.85,72.18,60.44,12.07,Low
34.64,86.19,59.3,30.55,High
28.78,45.13,14.21,40.67,Medium
20.04,43.87,178.25,4.2,Low
37.97,34.4,154.56,45.65,Low
32.71,30.72,117.85,15.68,Low
39.29,42.09,79.74,3.01,Low
29.5,70.2,137.59,29.16,Low
36.44,68.28,165.56,48.36,High
31.18,73.5,152.04,8.02,High
29.6,70.98,190.72,29.77,Low
27.91,33.86,115,46.14,Low
21.92,79.23,66.88,38.06,Low
27.75,35.87,128.33,46.25,Low
31.69,50.96,46.88,35.66,Low
32.77,35.03,175.19,35.85,Low
26.3,88.99,191.55,43.69,Low
21.18,38.07,155.93,21.62,Low
31.99,82.95,47.36,28.46,Low
30.6,63.79,111.12,42.77,High
18.97,42.87,1.43,5.89,Low
